Date,Dow Jones,MSCI World,Fundsmith Equity,LindsellTrain Global Eq
17/08/2015,17545.18,1749.08,213.42,1.9333
18/08/2015,17511.34,1744.2,213.32,1.9339
19/08/2015,17348.73,1726.01,212.7,1.9186
20/08/2015,16990.69,1697.25,210.97,1.9018
21/08/2015,16459.75,1650.96,208.04,1.8573
24/08/2015,15871.35,1589.5,202,1.7813
25/08/2015,15666.44,1583.86,198.78,1.7612
26/08/2015,16285.51,1616.48,197.37,1.7763
27/08/2015,16654.77,1650.53,203.58,1.8094
28/08/2015,16643.01,1658.07,206.76,1.8403
31/08/2015,16528.03,1645.43,206.76,1.8403
01/09/2015,16058.35,1600.71,205.29,1.8156
02/09/2015,16351.38,1615.67,202.01,1.7998
03/09/2015,16374.76,1622.94,205.34,1.8251
04/09/2015,16102.38,1595.71,204.81,1.8181
07/09/2015,16102.38,1598.65,202.35,1.8047
08/09/2015,16492.68,1627.09,202.66,1.7958
09/09/2015,16253.57,1628.18,206.68,1.8437
10/09/2015,16330.4,1625.4,203.46,1.8074
11/09/2015,16433.09,1626.99,203.2,1.8073
14/09/2015,16370.96,1620.28,204.35,1.8157
15/09/2015,16599.85,1634.01,203.39,1.8067
16/09/2015,16739.95,1653.81,206.19,1.8108
17/09/2015,16674.74,1652.88,207.06,1.8169
18/09/2015,16384.58,1630.69,205.45,1.7932
21/09/2015,16510.19,1628.93,205.13,1.7956
22/09/2015,16330.47,1600.76,205.21,1.792
23/09/2015,16279.89,1596.66,205.45,1.7953
24/09/2015,16201.32,1587.38,205.58,1.7919
25/09/2015,16314.67,1594.7,207.7,1.8183
28/09/2015,16001.89,1560.04,207.41,1.8231
29/09/2015,16049.13,1550.43,203.55,1.7828
30/09/2015,16284.7,1581.92,205.74,1.8086
01/10/2015,16272.01,1587.98,208.16,1.8444
02/10/2015,16472.37,1607.13,209.07,1.8569
05/10/2015,16776.43,1637.49,211.46,1.8803
06/10/2015,16790.19,1640.98,213.86,1.8967
07/10/2015,16912.29,1653.47,211.37,1.8728
