Date,LINTGEB ID Equity,IPCBDYA LN Equity,JOHUOYA LN Equity,BAREBIN LN Equity,LIOSSFI LN Equity,FSMEQIA LN Equity,JPMEMBA LN Equity,FSAPLBA LN Equity,FSGEMBA LN Equity,MNKS LN Equity,ATT LN Equity,LINTGED ID Equity
27/03/2017,2.4976,224.62,1.539,3587,365.12,320.84,272.3,667.9,611.12,617.5,901.5,1.7058
28/03/2017,2.5037,224.69,1.542,3602,365.13,321.52,273.2,672.64,613.63,623,915,1.7099
29/03/2017,2.5353,224.7,1.541,3618,366.13,323.95,275.8,681.2,619.61,632,930,1.7316
30/03/2017,2.5276,225.01,1.545,3606,368.36,323.74,276.5,678.72,620.32,632,930,1.7263
31/03/2017,2.5074,225.05,1.541,3597,366.67,323.42,273.1,675.92,614.69,635.5,932,1.7125
03/04/2017,2.5176,225.08,1.542,3610,367.46,322.39,272.2,674.5,612.04,639.5,935,1.7195
04/04/2017,2.5219,225.38,1.54,3612,367.93,323.29,273.8,677.44,613.71,641,920,1.7225
05/04/2017,2.5199,225.3,1.542,3624,368.41,323.18,273.2,679.18,613.33,641.5,929,1.7211
06/04/2017,2.5166,225.21,1.542,3623,368.55,323.37,273,678.18,611.68,636,927.25,1.7188
07/04/2017,2.5323,225.37,1.546,3625,369.76,323.44,273.8,679.1,613.34,641.5,925.5,1.7296
10/04/2017,2.534,225.38,1.547,3627,371.55,324.3,273.2,677.25,612.75,643.5,922,1.7308
11/04/2017,2.5428,225.53,1.557,3640,374.05,324.46,273.9,675.86,612.17,641,924.25,1.7368
12/04/2017,2.5328,225.77,1.56,3626,375.67,323.23,273.3,671.27,609.38,645,926,1.73
13/04/2017,2.5262,225.85,1.554,3623,375.23,322.72,272.7,669.6,608.53,648,922.5,1.7255
14/04/2017,2.5262,225.85,1.554,3623,375.23,322.72,272.7,669.6,608.53,648,922.5,1.7255
17/04/2017,2.5262,225.85,1.554,3623,375.23,322.72,272.7,669.6,608.53,648,922.5,1.7255
18/04/2017,2.5203,225.97,1.54,3585,373.2,321.05,271.1,657.56,602.69,635,923.75,1.7215
19/04/2017,2.4974,226.13,1.527,3562,370.68,316.71,266.7,648.96,596.39,634,912,1.7059
20/04/2017,2.504,225.97,1.518,3587,368.56,317.94,267.9,652.79,597.53,634.5,913,1.7104
21/04/2017,2.5031,225.97,1.52,3580,368.27,318.14,269.5,654.17,596.77,633.5,920,1.7098
24/04/2017,2.5234,226.26,1.533,3681,371.9,319.84,271.4,656.6,602.01,646.5,925,1.7236
25/04/2017,2.5385,226.33,1.539,3709,373.29,325.02,273.9,663.04,605.56,648,923.5,1.734
26/04/2017,2.5416,226.37,1.536,3730,373.12,327.21,275.2,666.49,607.44,649,928.25,1.7361
